Region;Filial;Mencion;Negativo;Neutral;Positivo;Territorio_comunicacion
Caribe;AFINIA;"RT @EspinosaRadio: Grupo @EPMestamosahi dice en esta carta a @MinEnergiaCo @andrescamachom_ que la prestación del servicio de energía está en riesgo ante deuda a Afinia 650 mil millones de pesos.

Además critican la forma como el presidente @petrogustavo se refiere a generadores del sector 

:point_down|type_3::point_down|type_3: https://t.co/wSKaN0n2f8";1;;;Calidad del servicio
Caribe;AFINIA;RT @EPMestamosahi: Junta Directiva de @afiniagrupoepm aceptó la renuncia del gerente general Jhon Jairo Granada Giraldo. https://t.co/LNnjRggswU;;1;;No asignado
Caribe;AFINIA;RT @EPMestamosahi El día de hoy, viernes 14 de febrero de 2025, la Junta Directiva de @AfiniaGrupoEPM, nombró al economista Ricardo José Arango Restrepo como nuevo gerente general, de esta filial del Grupo EPM en la Región Caribe e iniciará su gestión a partir de este 17 de febrero. En este hilo… https://t.co/zblxt61hig;;1;;Innovación y Liderazgo
Caribe;AFINIA;RT @EPMestamosahi Desde su entrada en operación en la región Caribe, EPM ha girado a @AfiniaGrupoEPM 2.88 billones de pesos. https://t.co/tp78phaCrx;;;1;No asignado
Caribe;AFINIA;RT @elkinlavoe #PareOreja @ContraloriaMed sigue cumpliendo con su Plan de Vigilancia y Control Fiscal Territorial en el 2025. adelanta Auditoría Financiera de Gestión y Resultados sobre Caribemar @AfiniaGrupoEPM filial de @EPMestamosahi, vigencia fiscal 2024. Más info https://t.co/KvcYwCLkHs;;1;;No asignado
Caribe;AFINIA;RT @elespectador La discusión giró en torno a los apagones en el Caribe programados por la empresa Afinia, filial de EPM.  https://t.co/KLOV2B3PdB;;1;;No asignado
Caribe;AFINIA;RT @elcolombiano En la Costa Caribe ni siquiera las alcaldías y las entidades públicas le están pagando el recibo de la luz al Grupo EPM: Afinia tiene hueco de más de $300.000 millones por deudas oficiales ⤵️ #Negocios https://t.co/k2ApkCg1Jm;1;;;No asignado
Caribe;AFINIA;RT @elcolombiano En el Consejo de Ministros, el Gobierno lanzó fuertes críticas contra Afinia, EPM y el alcalde “Fico” Gutiérrez por el modelo energético del país, pero se evitó hablar sobre la deuda de subsidios. Esto fue lo que pasó ⬇️ #Colombia https://t.co/CNySJNL4N6;1;;;Calidad del servicio
Caribe;AFINIA;RT @elcolombiano #Antrioquia |  A Afinia no le pagan ni los alcaldes de la costa Caribe: la filial de EPM tiene hueco de más de $300.000 millones por deudas oficiales. Entérese aquí ⬇️ https://t.co/GqiES0jcvV;1;;;No asignado
Caribe;AFINIA;RT @elabejon: Afina precisa que las pérdidas de energía actualmente representan un 27.5% a nivel empresarial, con un 28% en Bolívar y un 24% en Cartagena https://t.co/X4UOylL7vz @AfiniaGrupoEPM @eabuelvas12 @AfiniaGrupoEPM @EPMestamosahi @GobDeBolivar @YamilHAranaP @AlcaldiaCTG @xfernandezb1;;1;;Calidad del servicio
